,0,1,2,3
0,4,19,95,14
1,3,3,62,9
2,4,11,44,28
3,3,15,61,13
4,1,20,67,29
5,1,7,120,12
6,3,1,66,9
7,3,2,2,7
8,2,5,125,12
9,1,16,39,19
10,2,5,109,14
11,1,1,118,4
12,4,16,122,11
13,2,4,40,10
14,4,16,81,22
15,1,8,77,19
16,3,6,129,21
17,4,3,43,15
18,2,15,51,19
19,2,17,86,14
20,4,8,21,23
21,1,9,27,6
22,3,20,2,4
23,2,11,47,9
24,2,8,158,14
25,4,12,42,18
26,1,18,91,11
27,2,9,65,19
28,3,1,150,22
29,1,17,131,3
30,1,8,26,25
31,1,14,56,12
32,2,17,66,7
33,3,10,139,18
34,2,16,61,6
35,2,17,143,9
36,4,20,160,24
37,2,13,103,27
38,3,17,151,26
39,3,0,143,9
40,1,16,55,23
41,1,12,143,12
42,3,3,91,27
43,2,15,68,30
44,3,14,140,10
45,3,16,4,15
46,4,14,62,20
47,2,2,86,18
48,1,18,33,24
49,2,1,23,12
50,3,20,52,8
51,2,7,84,1
52,2,0,90,3
53,3,0,3,22
54,2,1,157,2
55,4,4,119,25
56,4,20,5,1
57,4,11,82,3
58,3,9,112,21
59,3,5,62,10
60,2,15,65,23
61,3,16,3,14
62,1,19,119,20
63,3,6,44,29
64,1,16,138,18
65,3,4,49,21
66,3,0,152,7
67,3,20,29,6
68,4,19,8,8
69,2,3,18,3
70,1,8,78,12
71,1,12,94,22
72,1,2,110,28
73,2,18,134,28
74,4,11,36,13
75,1,16,92,27
76,1,12,142,13
77,3,16,106,12
78,2,17,24,12
79,4,17,66,19
80,2,0,83,3
81,1,12,37,6
82,2,5,141,9
83,4,16,55,4
84,4,10,50,21
85,3,0,121,20
86,2,18,81,25
87,3,6,32,19
88,3,20,32,12
89,4,13,0,18
90,3,20,53,30
91,1,0,131,18
92,1,16,63,7
93,4,1,34,9
94,4,18,136,22
95,2,15,62,4
96,1,1,82,12
97,1,15,50,24
98,1,1,140,20
99,1,10,139,19
100,1,4,119,1
101,1,3,41,10
102,4,4,77,14
103,4,7,116,20
104,1,9,79,29
105,2,17,31,23
106,3,2,20,19
107,3,8,59,24
108,4,15,93,5
109,3,4,142,2
110,3,12,50,6
111,2,19,62,28
112,2,12,153,16
113,1,13,123,22
114,3,14,143,4
115,4,14,109,24
116,1,16,160,14
117,2,12,77,16
118,3,0,138,4
119,4,0,6,3
120,3,13,48,4
121,2,10,146,16
122,3,13,131,13
123,3,4,55,14
124,4,17,78,27
125,1,20,93,22
126,2,12,31,18
127,2,12,122,4
128,4,11,93,19
129,3,16,66,14
130,4,4,151,5
131,3,11,9,15
132,2,8,142,18
133,1,16,156,1
134,4,9,99,5
135,3,6,157,23
136,2,9,134,6
137,4,18,160,10
138,1,18,69,21
139,2,1,28,18
140,4,5,101,28
141,1,10,41,2
142,2,0,118,3
143,4,1,61,14
144,4,11,64,21
145,3,13,102,14
146,3,3,50,3
147,1,17,31,25
148,1,8,70,20
149,2,14,152,8
150,2,9,33,6
151,3,4,55,4
152,4,13,154,26
153,2,13,50,20
154,2,11,135,18
155,4,9,69,30
156,4,2,106,3
157,2,6,113,30
158,3,9,18,18
159,3,16,50,3
160,4,16,44,7
161,2,10,6,29
162,4,1,109,8
163,2,19,64,10
164,3,2,113,21
165,3,11,51,19
166,4,14,74,23
167,3,12,62,14
168,3,4,146,2
169,2,0,96,15
170,4,5,51,21
171,2,19,56,7
172,2,2,48,20
173,4,12,23,24
174,4,9,97,19
175,1,14,27,25
176,1,11,24,8
177,1,3,74,25
178,2,12,23,14
179,3,3,127,15
180,4,20,122,7
181,1,6,22,24
182,1,9,20,13
183,1,5,109,10
184,1,18,54,19
185,4,2,61,6
186,4,3,109,30
187,2,4,153,9
188,4,18,34,15
189,3,4,155,30
190,1,15,81,23
191,3,18,109,19
192,1,3,144,14
193,2,3,35,30
194,1,16,120,6
195,2,19,19,24
196,2,7,116,23
197,2,6,122,3
198,4,5,135,25
199,3,16,99,14
200,2,3,154,20
201,4,3,92,29
202,2,15,56,24
203,4,6,75,19
204,1,13,11,29
205,2,11,136,20
206,3,12,96,28
207,4,14,129,2
208,2,2,37,25
209,4,13,80,7
210,4,15,52,2
211,3,5,9,22
212,4,4,133,27
213,2,12,25,3
214,3,2,115,22
215,2,0,83,23
216,2,5,14,19
217,2,1,130,12
218,3,6,137,11
219,4,17,32,24
220,4,11,53,10
221,4,17,105,30
222,3,0,91,25
223,2,8,138,30
224,1,9,146,9
225,2,20,155,14
226,2,11,159,8
227,4,18,87,12
228,3,8,136,29
229,1,19,105,23
230,4,5,54,10
231,2,15,124,30
232,1,0,109,5
233,4,18,21,6
234,2,7,131,6
235,3,4,62,6
236,2,12,74,8
237,4,11,135,22
238,1,15,1,6
239,4,10,87,4
240,4,14,85,14
241,1,17,11,17
242,4,14,76,6
243,3,14,137,27
244,4,3,27,17
245,3,11,138,17
246,3,19,61,3
247,3,11,36,18
248,3,8,72,13
249,1,3,69,24
