,0,1,2,3
0,2,13,69,21
1,2,14,84,20
2,3,4,48,6
3,2,9,57,27
4,2,3,139,20
5,3,11,153,22
6,4,18,25,10
7,2,16,99,10
8,2,0,92,23
9,1,5,110,2
10,2,13,76,22
11,4,15,115,20
12,3,17,9,26
13,2,18,72,11
14,1,11,103,18
15,3,11,49,27
16,4,6,110,6
17,1,3,113,7
18,4,4,128,19
19,4,14,65,5
20,3,3,92,6
21,3,1,78,19
22,2,9,6,8
23,2,16,36,9
24,2,7,66,24
25,1,6,128,17
26,3,9,5,11
27,1,18,148,14
28,4,1,5,20
29,2,12,134,17
30,3,19,105,23
31,2,11,63,8
32,4,16,41,11
33,4,2,61,18
34,4,11,66,3
35,3,19,122,25
36,4,6,50,6
37,4,2,90,26
38,2,9,0,8
39,2,19,99,20
40,1,12,127,25
41,2,12,0,12
42,3,19,67,23
43,3,1,41,17
44,1,3,128,5
45,3,0,118,2
46,4,16,160,19
47,2,17,117,22
48,4,10,107,25
49,3,17,151,3
50,1,19,141,3
51,2,0,12,23
52,4,10,43,6
53,2,4,54,25
54,4,12,156,22
55,4,4,129,8
56,3,7,65,24
57,4,7,82,25
58,3,4,45,29
59,3,15,127,13
60,3,11,27,18
61,1,3,57,11
62,3,17,128,27
63,3,19,37,22
64,1,2,120,25
65,3,11,23,12
66,4,0,49,7
67,2,9,20,15
68,4,12,86,25
69,3,19,113,23
70,2,5,78,29
71,1,5,91,27
72,2,1,15,20
73,3,15,38,24
74,1,12,35,27
75,1,7,23,13
76,2,20,23,27
77,1,2,34,18
78,4,16,89,27
79,2,15,70,11
80,3,4,65,5
81,2,8,69,3
82,4,5,77,4
83,3,8,69,11
84,3,2,66,22
85,2,6,53,9
86,2,16,116,20
87,1,13,19,2
88,2,6,76,11
89,2,14,17,21
90,1,2,82,9
91,2,16,47,20
92,2,9,69,30
93,4,10,70,26
94,1,13,40,12
95,3,6,50,10
96,3,13,32,17
97,3,12,147,24
98,4,5,88,8
99,2,18,146,18
100,2,17,24,27
101,1,10,60,13
102,1,4,87,2
103,4,18,88,29
104,4,10,95,18
105,3,2,160,21
106,3,17,101,14
107,2,18,78,2
108,2,20,34,13
109,4,15,108,29
110,1,1,30,15
111,4,7,134,1
112,4,0,98,11
113,3,10,27,24
114,3,4,20,15
115,2,8,10,5
116,4,3,111,30
117,1,19,144,11
118,3,17,22,26
119,2,8,32,11
120,2,11,33,22
121,3,3,9,16
122,2,6,21,5
123,3,2,44,7
124,1,13,89,23
125,2,18,76,14
126,3,19,84,25
127,2,5,27,15
128,1,13,107,30
129,4,11,88,29
130,4,2,93,7
131,4,16,23,6
132,3,14,41,17
133,3,16,158,10
134,1,9,150,16
135,1,17,48,29
136,3,10,36,9
137,4,4,137,24
138,2,2,160,5
139,3,7,107,4
140,3,18,160,25
141,2,19,21,21
142,4,16,141,18
143,2,19,34,17
144,3,3,51,2
145,4,12,16,9
146,2,20,108,10
147,1,2,128,7
148,4,19,70,18
149,1,6,158,4
150,1,5,49,23
151,3,17,125,19
152,2,0,111,27
153,1,1,129,22
154,2,15,88,30
155,2,13,81,21
156,2,4,47,5
157,4,1,6,24
158,4,16,72,28
159,2,15,110,10
160,1,0,42,28
161,4,15,18,29
162,3,16,108,25
163,4,17,49,15
164,3,15,92,11
165,4,4,122,21
166,3,3,7,15
167,3,14,100,26
168,2,14,60,25
169,3,14,50,25
170,3,6,137,19
171,3,17,128,20
172,1,14,0,15
173,2,20,62,22
174,4,17,139,23
175,2,8,125,7
176,4,0,110,27
177,4,7,48,14
178,4,19,9,16
179,4,12,24,2
180,1,5,61,5
181,2,5,14,4
182,4,12,92,27
183,4,18,44,7
184,2,0,107,27
185,2,16,17,30
186,4,0,96,30
187,4,1,48,14
188,1,16,142,3
189,3,12,59,26
190,2,15,80,19
191,4,13,18,24
192,2,7,124,17
193,3,18,106,29
194,3,13,52,3
195,1,7,124,1
196,2,15,30,24
197,2,13,7,20
198,2,9,70,27
199,1,11,135,15
200,3,15,46,1
201,3,0,53,18
202,3,14,131,9
203,2,17,98,27
204,3,14,70,3
205,2,9,94,9
206,1,8,100,17
207,1,11,41,11
208,2,14,140,9
209,3,17,47,15
210,2,10,37,15
211,1,8,76,4
212,4,1,119,19
213,2,0,34,19
214,4,6,145,25
215,4,5,160,22
216,3,4,31,24
217,2,9,14,18
218,3,8,51,24
219,4,3,52,3
220,1,20,90,23
221,1,3,152,15
222,3,11,66,18
223,3,15,83,4
224,2,5,72,25
225,4,6,14,11
226,2,1,44,26
227,1,4,88,29
228,3,3,109,21
229,3,0,149,25
230,2,15,16,26
231,4,7,116,11
232,2,10,70,14
233,1,20,120,1
234,1,13,88,2
235,1,1,142,7
236,3,13,153,14
237,3,18,108,29
238,4,9,117,27
239,1,15,34,24
240,3,16,74,18
241,2,0,72,27
242,2,13,48,6
243,3,16,132,16
244,1,20,38,29
245,3,3,127,26
246,2,15,104,11
247,3,5,130,18
248,4,7,63,14
249,4,18,76,17
250,3,19,81,23
251,1,20,36,5
252,3,1,2,27
253,4,9,16,6
254,2,5,137,30
255,4,20,60,12
256,4,5,7,2
257,2,17,84,15
258,4,14,96,13
259,4,11,54,19
260,2,17,123,7
261,1,5,51,29
262,4,13,132,11
263,1,15,89,27
264,2,16,92,23
265,2,13,44,8
266,4,0,126,27
267,4,16,34,9
268,4,17,90,2
269,1,9,27,25
270,3,12,39,16
271,1,13,97,4
272,1,12,107,29
273,1,17,116,13
274,1,3,66,19
275,3,1,22,19
276,3,5,68,7
277,2,8,125,30
278,2,12,24,6
279,3,8,105,11
280,4,10,32,16
281,3,16,101,26
282,3,6,41,15
283,4,18,101,8
284,3,6,59,21
285,2,11,15,5
286,2,7,131,14
287,4,10,12,17
288,2,7,156,14
289,4,15,15,27
290,1,7,63,26
291,1,6,27,27
292,4,8,61,3
293,4,17,42,24
294,4,11,89,25
295,1,20,148,11
296,3,13,72,16
297,1,2,47,21
298,1,7,23,28
299,3,20,84,15
300,2,9,7,28
301,3,8,126,19
302,3,5,71,7
303,2,19,86,20
304,3,8,106,13
305,4,3,156,2
306,3,19,29,28
307,2,9,136,27
308,3,14,58,18
309,3,10,49,1
310,4,7,45,30
311,3,18,71,7
312,1,1,58,28
313,1,5,12,18
314,4,16,57,4
315,1,15,26,22
316,4,3,106,1
317,1,9,91,11
318,2,10,109,3
319,2,13,37,2
320,4,20,131,26
321,4,2,100,19
322,3,9,155,15
323,2,4,32,19
324,4,10,54,4
325,4,2,71,7
326,4,15,110,2
327,4,1,86,12
328,2,16,23,22
329,3,10,106,13
330,2,0,59,28
331,3,17,27,16
332,4,14,64,3
333,3,6,104,19
334,3,18,4,18
335,1,2,128,5
336,1,16,119,29
337,1,19,73,2
338,1,9,25,15
339,4,14,62,9
340,3,3,74,22
341,3,3,22,23
342,1,18,40,4
343,3,2,17,4
344,3,12,19,18
345,4,10,28,25
346,1,12,115,12
347,4,9,56,2
348,3,10,62,11
349,1,11,148,12
350,1,16,36,30
351,3,16,83,5
352,3,15,41,24
353,2,16,63,30
354,1,19,102,28
355,2,18,123,30
356,4,12,5,28
357,2,0,13,22
358,3,17,127,9
359,1,8,30,25
360,4,5,127,29
361,4,20,59,9
362,4,5,84,20
363,2,18,94,11
364,3,2,79,19
365,1,3,85,16
366,3,10,71,5
367,4,16,98,28
368,2,10,66,6
369,4,18,60,16
370,2,18,48,12
371,1,10,121,16
372,2,9,49,20
373,1,5,85,29
374,4,18,116,22
375,3,6,72,2
376,2,0,67,17
377,1,5,160,19
378,1,4,133,14
379,4,17,147,13
380,1,3,81,13
381,3,15,69,6
382,1,9,35,28
383,3,5,5,8
384,2,6,41,21
385,2,0,145,28
386,3,3,64,3
387,4,4,77,16
388,3,11,151,15
389,3,13,96,14
390,2,2,0,29
391,1,14,68,12
392,4,16,138,19
393,2,6,122,30
394,4,3,158,6
395,4,9,114,26
396,1,13,7,21
397,4,12,30,18
398,1,6,94,21
399,3,4,149,20
400,1,0,28,17
401,2,7,5,23
402,2,8,29,30
403,4,17,127,6
404,2,14,19,13
405,1,4,150,21
406,3,0,64,26
407,4,20,136,3
408,4,12,43,30
409,1,4,42,23
410,2,16,41,11
411,4,9,11,16
412,1,17,126,8
413,3,20,128,25
414,2,9,69,2
415,3,15,139,9
416,3,19,81,5
417,2,1,99,8
418,4,16,119,20
419,1,19,90,15
420,1,19,15,9
421,3,18,126,29
422,2,10,141,25
423,3,18,121,30
424,3,12,8,5
425,3,14,145,26
426,3,0,108,1
427,3,11,139,13
428,2,10,137,10
429,2,17,134,23
430,4,8,67,5
431,4,8,157,22
432,3,19,40,1
433,1,7,132,27
434,4,13,43,22
435,1,11,138,28
436,4,17,55,2
437,2,20,23,14
438,4,1,26,9
439,3,7,55,2
440,1,9,83,20
441,1,10,117,15
442,1,5,76,14
443,2,19,57,14
444,3,17,67,2
445,4,10,93,19
446,2,20,150,3
447,1,0,71,2
448,1,12,50,18
449,3,0,46,5
450,4,11,56,19
451,4,1,43,11
452,4,2,108,1
453,2,1,144,17
454,2,13,84,11
455,4,6,15,6
456,2,10,23,17
457,4,11,73,22
458,2,15,69,29
459,3,7,45,6
460,3,5,81,23
461,1,2,48,6
462,2,19,82,20
463,3,10,4,30
464,4,14,18,18
