,0,1,2,3
0,2,20,53,10
1,1,6,20,12
2,2,4,121,2
3,4,3,148,9
4,1,5,101,29
5,2,20,49,7
6,3,18,156,17
7,1,15,57,28
8,1,12,7,4
9,3,13,71,1
10,4,9,121,17
11,1,2,134,13
12,1,1,81,4
13,2,14,85,12
14,1,8,69,8
15,1,8,16,19
16,1,5,61,4
17,2,18,93,25
18,3,13,69,14
19,1,14,28,5
20,2,13,49,21
21,2,13,73,17
22,1,20,69,15
23,1,10,63,7
24,4,10,143,25
25,2,7,118,25
26,3,17,97,29
27,1,1,89,3
28,3,5,63,14
29,4,0,149,25
30,3,4,7,2
31,3,1,5,21
32,3,15,116,23
33,3,14,100,9
34,3,11,149,23
35,3,11,107,17
36,1,15,100,19
37,3,10,87,11
38,2,12,38,24
39,4,0,81,8
40,1,19,35,28
41,3,10,30,13
42,2,11,142,16
43,1,9,131,18
44,1,16,17,17
45,3,2,100,6
46,3,19,98,29
47,2,16,105,25
48,1,9,102,21
49,2,1,122,13
50,4,13,125,26
51,2,20,46,15
52,3,6,11,6
53,4,1,35,7
54,2,9,143,14
55,4,15,36,17
56,2,7,18,26
57,3,18,67,27
58,4,13,41,25
59,1,14,137,25
60,3,19,68,15
61,2,11,23,8
62,4,20,27,8
63,2,14,87,20
64,4,9,156,4
65,2,5,104,20
66,1,15,151,26
67,2,5,8,3
68,4,12,16,5
69,1,0,93,2
70,1,10,19,21
71,3,5,160,25
72,4,11,13,27
73,2,8,13,10
74,1,18,66,23
75,2,12,89,9
76,1,19,86,12
77,3,0,55,2
78,3,9,107,26
79,4,5,109,6
80,1,13,152,12
81,1,2,50,10
82,4,9,76,2
83,2,11,47,9
84,2,14,153,6
85,3,8,45,28
86,2,7,56,17
87,1,16,14,20
88,4,18,90,2
89,3,6,67,20
90,1,19,19,17
91,2,6,122,3
92,1,9,143,29
93,2,0,153,24
94,4,17,124,16
95,2,19,33,6
96,4,0,107,17
97,4,12,32,1
98,4,3,101,4
99,1,3,100,1
100,1,4,108,18
101,1,12,42,30
102,2,12,79,29
103,3,12,64,21
104,4,18,124,17
105,2,3,2,24
106,4,9,55,28
107,2,4,59,17
108,3,6,39,7
109,1,7,151,22
110,3,17,34,29
111,4,10,124,16
112,4,7,9,20
113,2,9,25,28
114,2,0,12,17
115,4,16,12,30
116,4,20,13,21
117,1,16,123,4
118,2,8,106,20
119,4,6,146,21
120,1,10,142,3
