,0,1,2,3
0,4,12,65,29
1,4,0,32,24
2,1,1,66,30
3,2,12,68,26
4,2,12,11,8
5,1,6,35,23
6,3,7,21,30
7,3,16,160,27
8,1,12,84,27
9,1,19,20,6
10,1,15,35,11
11,3,8,45,6
12,4,2,79,1
13,1,14,148,23
14,3,0,90,4
15,4,1,109,12
16,4,7,27,28
17,1,13,37,8
18,3,6,51,19
19,2,10,35,7
20,4,1,17,20
21,2,1,80,4
22,2,1,9,5
23,3,10,62,8
24,1,0,122,18
25,1,6,88,21
26,3,17,55,23
27,3,18,159,26
28,2,15,41,15
29,3,15,98,25
30,1,16,96,7
31,3,8,121,10
32,4,7,101,15
33,3,10,109,28
34,2,6,130,17
35,2,10,115,18
36,1,2,48,28
37,2,14,14,11
38,4,3,26,9
39,4,19,19,29
40,2,8,48,6
41,4,7,93,26
42,4,10,11,27
43,4,9,27,24
44,3,14,46,2
45,4,9,140,18
46,3,5,142,10
47,2,4,101,21
48,1,18,59,3
49,2,14,80,16
50,1,19,11,11
51,1,6,13,5
52,3,12,7,10
53,4,12,113,26
54,2,4,73,30
55,4,7,109,3
56,3,11,137,18
57,3,15,76,22
58,4,4,64,30
59,2,8,118,24
60,3,7,40,21
61,2,11,18,28
62,2,0,75,10
63,2,19,130,3
64,2,2,69,5
65,1,11,159,1
66,2,0,6,12
67,4,20,92,24
68,1,3,113,1
69,4,8,124,28
70,2,0,128,2
71,4,1,24,2
72,1,5,42,26
73,2,2,12,17
74,4,2,34,27
75,2,12,120,10
76,1,18,16,26
77,1,2,30,7
78,1,8,137,10
79,2,11,57,25
80,3,3,24,4
81,2,4,45,16
82,4,4,24,19
83,3,6,10,21
84,4,6,23,29
85,4,17,12,29
86,1,13,81,10
87,1,14,68,9
88,4,0,22,18
89,1,5,41,30
90,2,13,91,30
91,4,14,39,22
92,2,4,143,23
93,3,11,91,6
94,3,4,108,16
95,4,11,47,28
96,4,2,39,7
97,2,2,79,19
98,2,17,88,10
99,1,18,62,29
100,3,13,74,30
101,3,11,77,10
102,4,19,100,3
103,3,8,33,28
104,1,9,146,28
105,4,17,116,9
106,3,11,63,15
107,2,6,45,1
108,4,6,97,5
109,2,5,60,29
110,4,9,78,2
111,1,15,136,27
112,3,9,11,24
113,3,18,34,12
114,1,0,113,4
115,1,2,142,1
116,3,1,12,10
117,4,9,116,16
118,4,11,136,21
119,1,7,79,2
120,3,6,51,30
121,4,1,0,9
122,4,14,107,28
123,4,17,94,23
124,1,8,71,7
125,3,9,37,10
126,2,0,114,26
127,3,16,108,23
128,2,3,87,13
129,2,0,113,2
130,1,8,64,3
131,2,15,135,11
132,4,10,121,8
133,1,6,68,28
134,4,14,0,18
135,4,7,62,3
136,1,10,93,13
137,2,6,29,30
138,2,15,23,6
139,4,3,17,19
140,4,10,46,22
141,1,2,13,10
142,4,7,26,4
143,1,12,111,16
144,3,18,56,19
145,3,20,51,23
146,3,8,148,30
147,1,3,34,22
148,4,10,126,24
149,4,5,3,9
150,4,11,100,9
151,3,18,97,13
152,4,0,135,4
153,3,2,89,3
154,1,15,106,10
155,1,6,6,8
156,1,2,104,25
157,2,20,87,14
158,3,12,4,22
159,3,11,88,28
160,2,6,124,3
161,4,2,98,3
162,3,8,109,6
163,1,12,137,10
164,4,18,39,13
165,4,15,2,9
166,2,13,89,25
167,3,0,111,26
168,1,16,140,22
169,3,10,37,26
170,1,19,74,13
171,3,16,113,20
172,3,7,22,7
