,0,1,2,3
0,1.0,0.0,0.0,1.0
1,1.0,0.0,0.0,6.0
2,1.0,0.0,0.0,11.0
3,1.0,0.0,0.0,16.0
4,1.0,0.0,0.0,21.0
5,1.0,0.0,0.0,26.0
6,1.0,0.0,1.0,1.0
7,1.0,0.0,1.0,6.0
8,1.0,0.0,1.0,11.0
9,1.0,0.0,1.0,16.0
10,1.0,0.0,1.0,21.0
11,1.0,0.0,1.0,26.0
12,1.0,0.0,2.0,1.0
13,1.0,0.0,2.0,6.0
14,1.0,0.0,2.0,11.0
15,1.0,0.0,2.0,16.0
16,1.0,0.0,2.0,21.0
17,1.0,0.0,2.0,26.0
18,1.0,0.0,3.0,1.0
19,1.0,0.0,3.0,6.0
20,1.0,0.0,3.0,11.0
21,1.0,0.0,3.0,16.0
22,1.0,0.0,3.0,21.0
23,1.0,0.0,3.0,26.0
24,1.0,0.0,4.0,1.0
25,1.0,0.0,4.0,6.0
26,1.0,0.0,4.0,11.0
27,1.0,0.0,4.0,16.0
28,1.0,0.0,4.0,21.0
29,1.0,0.0,4.0,26.0
30,1.0,0.0,5.0,1.0
31,1.0,0.0,5.0,6.0
32,1.0,0.0,5.0,11.0
33,1.0,0.0,5.0,16.0
34,1.0,0.0,5.0,21.0
35,1.0,0.0,5.0,26.0
36,1.0,0.0,6.0,1.0
37,1.0,0.0,6.0,6.0
38,1.0,0.0,6.0,11.0
39,1.0,0.0,6.0,16.0
40,1.0,0.0,6.0,21.0
41,1.0,0.0,6.0,26.0
42,1.0,0.0,7.0,1.0
43,1.0,0.0,7.0,6.0
44,1.0,0.0,7.0,11.0
45,1.0,0.0,7.0,16.0
46,1.0,0.0,7.0,21.0
47,1.0,0.0,7.0,26.0
48,1.0,0.0,8.0,1.0
49,1.0,0.0,8.0,6.0
50,1.0,0.0,8.0,11.0
51,1.0,0.0,8.0,16.0
52,1.0,0.0,8.0,21.0
53,1.0,0.0,8.0,26.0
54,1.0,0.0,9.0,1.0
55,1.0,0.0,9.0,6.0
56,1.0,0.0,9.0,11.0
57,1.0,0.0,9.0,16.0
58,1.0,0.0,9.0,21.0
59,1.0,0.0,9.0,26.0
60,1.0,0.0,10.0,1.0
61,1.0,0.0,10.0,6.0
62,1.0,0.0,10.0,11.0
63,1.0,0.0,10.0,16.0
64,1.0,0.0,10.0,21.0
65,1.0,0.0,10.0,26.0
66,1.0,0.0,11.0,1.0
67,1.0,0.0,11.0,6.0
68,1.0,0.0,11.0,11.0
69,1.0,0.0,11.0,16.0
70,1.0,0.0,11.0,21.0
71,1.0,0.0,11.0,26.0
72,1.0,0.0,12.0,1.0
73,1.0,0.0,12.0,6.0
74,1.0,0.0,12.0,11.0
75,1.0,0.0,12.0,16.0
76,1.0,0.0,12.0,21.0
77,1.0,0.0,12.0,26.0
78,1.0,0.0,13.0,1.0
79,1.0,0.0,13.0,6.0
80,1.0,0.0,13.0,11.0
81,1.0,0.0,13.0,16.0
82,1.0,0.0,13.0,21.0
83,1.0,0.0,13.0,26.0
84,1.0,0.0,14.0,1.0
85,1.0,0.0,14.0,6.0
86,1.0,0.0,14.0,11.0
87,1.0,0.0,14.0,16.0
88,1.0,0.0,14.0,21.0
89,1.0,0.0,14.0,26.0
90,1.0,0.0,15.0,1.0
91,1.0,0.0,15.0,6.0
92,1.0,0.0,15.0,11.0
93,1.0,0.0,15.0,16.0
94,1.0,0.0,15.0,21.0
95,1.0,0.0,15.0,26.0
96,1.0,0.0,16.0,1.0
97,1.0,0.0,16.0,6.0
98,1.0,0.0,16.0,11.0
99,1.0,0.0,16.0,16.0
100,1.0,0.0,16.0,21.0
101,1.0,0.0,16.0,26.0
